#,"Year 1","Year 2","Year 3","Year 4","Year 5",Selected,Active,Barcode(s),"Asset Type",Consumable,"Asset Name","Asset Description","Bin Location","Pick Number",Campus,Building,Room,Zone,Category,"Custom Label and Max booking limit",Course,Store
120,No,No,No,No,No,No,Yes,DMM00676,0,No,"Blackstar HT Club 40","When booking this amp please email DMM stores (m10059@surrey.ac.uk) to get the current door codes to PA17 (you will not be able to access it without the codes). Please return this amp to PA17 when your booking is finished.",,,,P.A.T.S,PA17,"Inner Store","Monitors and Amps, Performance equipment",,,
121,No,No,No,No,No,No,No,DMM00927,0,No,"Black XLR 1",,,,,,,,Cables,,,
122,No,No,No,No,No,No,No,DMM00928,0,No,"Black XLR 2",,,,,,,,Cables,,,
123,No,No,No,No,No,No,Yes,DMM00776,0,No,"Bongos (With Stand)",,,,,P.A.T.S,"Studio 1","Percussion Cupboard","Musical Instruments",,,
124,No,No,No,No,No,No,Yes,DMM00521,0,No,"Boom pole",,,,,P.A.T.S,PA16,F1,"Tripods & Mounts",,,
125,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00231, DMM00232",0,No,"Boom Pole - 3m",,,,"Stag Hill",AC,04AC01,C0,"Tripods & Mounts",,,
126,No,No,No,No,No,No,Yes,DMM00154,0,No,"Bricasti no. 1",,,,,P.A.T.S,,,"Effects units and pre amps",,,
127,No,No,No,No,No,No,Yes,DMM00155,0,No,"Bricasti no. 2",,,,,P.A.T.S,,,"Effects units and pre amps",,,
128,No,No,No,No,No,No,Yes,CagedKit,0,No,"Caged Kit 1","***You must collect the hi-hat clutch from Stores. You MUST also return it to Stores, at the earliest opportunity, after your booking.***",,,,P.A.T.S,PA16,,"Musical Instruments",,,
129,No,No,No,No,No,No,Yes,CagedKit2,0,No,"Caged Kit 2","***You must collect the hi-hat clutch from Stores. You MUST also return it to Stores, at the earliest opportunity, after your booking.***",,,,P.A.T.S,PA16,,"Musical Instruments",,,
130,No,No,No,No,No,No,Yes,DMM00043,0,No,"Calrec CB20","Cardioid and omni capsules.",,,,P.A.T.S,,A2,"Microphones, Directivity: Omni, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm, Brand: Calrec",,,
131,No,No,No,No,No,No,Yes,DMM00727,0,No,"CALREC CB20c CC50 No. 1",,,,,P.A.T.S,PA16,,"TV Studio Microphones",,,
132,No,No,No,No,No,No,Yes,DMM00044,0,No,"Calrec CM1050 x2",Cardioid.,,,,P.A.T.S,,A2,"Microphones, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm, Brand: Calrec",,,
133,No,No,No,No,No,No,Yes,DMM00728,0,No,"Calrec No. 2","HS UK CM1050C 4506",,,,P.A.T.S,PA16,,"TV Studio Microphones",,,
134,No,No,No,No,No,No,No,DMM00045,0,No,"Calrec Soundfield MK4","Kit with processor in the box. Note that mic lead is separate.",,,,P.A.T.S,,,"Microphones, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Directivity: Sub, Type: Condenser, Brand: Calrec",,,
135,No,No,No,No,No,No,Yes,DMM00119,0,No,"Canford no. 1",,,,,P.A.T.S,,B5,"Monitors and Amps",,,
136,No,No,No,No,No,No,Yes,DMM00120,0,No,"Canford no. 2",,,,,P.A.T.S,,B5,"Monitors and Amps",,,
137,No,No,No,No,No,No,No,DMM01063,0,No,"Canford no. 3",,,,,P.A.T.S,,B5,"Monitors and Amps",,,
138,No,No,No,No,No,No,No,DMM00442,0,No,"Canon 5D Kit","Serial:

Kit Contains:
 Canon 5D MkIII full frame DSLR
 50mm Prime Lens
 Battery
 Charger",,,,P.A.T.S,PA16,,"DSLR Cameras",,,
139,No,No,No,No,No,No,Yes,DMM00001,0,No,"Canon 5D Kit","Kit Contains:
 Canon 5D MkIII full frame DSLR
 50mm Prime Lens
 Battery
 Charger",,,,Nodus,11NC01,,"DSLR Cameras",,,
140,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00446, DMM00452, DMM00457, DMM00462, DMM00467, DMM00472, DMM00477, DMM00482, DMM00487, DMM00492, DMM00497, DMM00502, DMM00507",0,No,"Canon 6D ","Kit Contains: Canon 6D DSLR, 24-105mm f/4 IS lens, battery pack, Canon LC-E6E charger, mini-USB lead, 16GB SD Card.

Camera serial - 233020000745
Lens Serial - 5978886",,,,P.A.T.S,PA16,I2,"DSLR Cameras",,,
141,No,No,No,No,No,No,Yes,DMM00823,0,No,"Canon 70D","DSLR camera with 22.5mm x 15.0mm CMOS Sensor, EF mount. comes with lens 18-55.
Do not leave images on the memory card as they will be deleted.",,,,P.A.T.S,"Ton Transit",,"DSLR Cameras",,Ton,
142,No,No,No,No,No,No,No,DMM00824,0,No,"Canon 70D No .2","DSLR camera with 22.5mm x 15.0mm CMOS Sensor, EF mount. comes with lens 18-55.",,,,P.A.T.S,,,"DSLR Cameras",,Ton,
143,No,No,No,No,Yes,Yes,Yes,DMM00197,1,No,"Car park space 1",,,,"Stag Hill",PATS,,,"PATS Parking",,,
144,No,No,No,No,Yes,Yes,Yes,DMM00198,1,No,"Car park space 2",,,,"Stag Hill",PATS,,,"PATS Parking",,,
145,No,No,No,No,Yes,Yes,Yes,DMM00199,1,No,"Car park space 3",,,,"Stag Hill",PATS,,,"PATS Parking",,,
146,No,No,No,No,No,No,Yes,DMM00048,0,No,C-Ducer,"Contact mic",,,,P.A.T.S,,,Microphones,,,
147,No,No,No,No,No,No,Yes,DMM00777,0,No,"Chamber Organ","When booking this please email DMM stores (m10059@surrey.ac.uk) to get the current door codes to PA17 (you will not be able to access it without the codes). Please then return it to PA17 when your booking is finished.",,,,P.A.T.S,PA17,"Inner Store","Musical Instruments",,,
148,No,Yes,No,Yes,Yes,Yes,Yes,DMM01078,0,No,"ChromaFlex And LiteRing","7"" x 7"" collapsible chromatte screen with a dual-colour (green & blue) LiteRing and controller.
Also comes with lens adaptor ring and carry bag",,,"Stag Hill",AC,04AC01,,"Lighting Accessories",,,
149,No,No,No,No,No,No,Yes,DMM01117,0,No,"Clash Cymbals - Orchestral.","Sabian XSR Concert Band 20"" Cymbals, with handles

Includes stand.",,,,,PA17,,Stock,,,
150,No,Yes,No,Yes,Yes,Yes,Yes,CMTStudio,1,No,"CMT Studio (13 AC 01)",,,,"Stag Hill",AC,,,"Media Labs",,,
151,No,No,No,No,No,No,Yes,DMM00046,0,No,"Coles  4038 kit 1","Ribbon mic with XLR adaptor lead.",,,,P.A.T.S,,B3,"Microphones, Type: Ribbon, Directivity: Fig-8, Brand: Coles",,,
152,No,No,No,No,No,No,Yes,DMM00047,0,No,"Coles  4038 kit 2","Ribbon mic with XLR adaptor lead.",,,,P.A.T.S,,B3,"Microphones, Type: Ribbon, Directivity: Fig-8, Brand: Coles",,,
153,No,No,No,No,No,No,Yes,DMM01123,0,No,"Coles 4038 Stereo Bar","Stereo Mount specifically for the Coles 4038 ribbon mics
Approx. 35cm in length",,,,P.A.T.S,PA16,,"Trees & stereo bars",,,
154,No,Yes,No,Yes,Yes,Yes,Yes,DMM00905,0,No,"Colorchecker PASSPORT VIDEO","Color balance and control for video.",,,"Stagg Hill",P.A.T.S,PA16,,"Camera and Lens Accessories",,FPBE,
155,No,No,No,No,No,No,Yes,DMM00166,0,No,"Complete HP kit 1 (DT150+box+lead)",,,,,P.A.T.S,,A5,"Headphones and Headphone amps",,,
156,No,No,No,No,No,No,Yes,DMM00167,0,No,"Complete HP kit 2 (DT150+box+lead)",,,,,P.A.T.S,,A5,"Headphones and Headphone amps",,,
157,No,No,No,No,No,No,Yes,DMM00778,0,No,"Conga No. 1",,,,,P.A.T.S,PA16,,"Musical Instruments",,,
158,No,No,No,No,No,No,Yes,DMM00779,0,No,"Conga No. 2",,,,,P.A.T.S,PA16,,"Musical Instruments",,,
159,No,No,No,No,No,No,Yes,DMM00176,0,No,"Cortex MK2 HATS","Cortex dummy head including stand, PSU, leads and processor box in flightcase.

PhD Students and staff are free to book this item. Students must seek permission from Russell Mason.",,,,"Teaching Block",TB7,TB7,"Research equipment",,,
160,No,No,No,No,No,No,Yes,DMM01052,0,No,"Countryman EM-101 No. 1","A vintage omnidirectional, condenser, wired, lavalier microphone.
Pattern: Omni
Sensitivity: -47dB
Clipping Level: 149 dB SPL
Freq. Response: ±1.5dB  10Hz 15kHz
Noise: 25dB SPL A
Power: 48V Nom.",,,,P.A.T.S,PA16,B3,"Microphones, Directivity: Omni, Type: Condenser, Type: Lavalier",,,
161,No,No,No,No,No,No,Yes,DMM01053,0,No,"Countryman EM-101 No. 2","A vintage omnidirectional, condenser, wired, lavalier microphone.
Pattern: Omni
Sensitivity: -47dB
Clipping Level: 149 dB SPL
Freq. Response: ±1.5dB  10Hz 15kHz
Noise: 25dB SPL A
Power: 48V Nom.",,,,P.A.T.S,PA16,B3,"Microphones, Directivity: Omni, Type: Condenser, Type: Lavalier",,,
162,No,No,No,No,No,No,Yes,"DMM00729, DMM00730, DMM00731, DMM00732",0,No,"Countryman ",,,,,P.A.T.S,PA16,,"TV Studio Microphones",,,
163,No,No,No,No,No,No,Yes,"DMM01139, DMM01137, DMM01138, DMM01136",0,No,"C-Stand 40"" With Sliding Leg",,,,"Stag Hill",Nodus,GLS,,"Tripods & Mounts",,FPBE,
164,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00914,0,No,"C-Stand no1",,,,"Stagg Hill",P.A.T.S,PA16,,"Tripods & Mounts",,FPBE,
165,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00913,0,No,"C-Stand no2",,,,"Stagg Hill",P.A.T.S,PA16,,"Tripods & Mounts",,FPBE,
166,No,No,No,No,No,No,Yes,DMM01154,0,No,"CTO Gel Kit",,,,"Stag Hill",Nodus,GLS,,,,FPBE,
167,Yes,Yes,No,Yes,Yes,Yes,Yes,ResolveDongle,0,No,"DaVinci Resolve Studio Dongle",,,,,,,,Dongles,,,
168,No,No,No,No,No,No,Yes,DMM01155,0,No,"Daylight Filters (5 Colour ) Kit",,,,"Stag Hill",Nodus,11NC01,,Filters,,FPBE,
169,No,No,No,No,No,No,Yes,DMM00114,0,No,"DDA 24-channel console no. 1","C.A.R back",,,,P.A.T.S,,,"Portable Consoles",,,
170,No,No,No,No,No,No,Yes,DMM00115,0,No,"DDA 24-channel console no. 2",,,,,P.A.T.S,,,"Portable Consoles",,,
171,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00557, DMM00570",0,No,"Dedo LED Light Kit","3x Dedo light heads
3x Power supply
3x light shield ring
3x barn doors
1x speed ring
1x Dedoflex mini soft box
3x Dedo light stand",,,"Stag Hill",AC,04AC01,,Lighting,,,
172,Yes,Yes,No,Yes,Yes,Yes,Yes,"DMM00522, DMM00528",0,No,"Dedo Light Kit","3x DLH4 150W heads
Power supply''s
Light stands",,,"Stag Hill",AC,04AC01,,Lighting,,,
173,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00534,0,No,"Dedo Light Projector kit","Projector Lens
Light Clamps
Gobo holders
Gobos",,,"Stag Hill",AC,04AC01,,Lighting,,,
174,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00864,0,No,"DJI Ronin-MX","DJI Ronin-MX 3-Axis Stabilized Handheld Gimbal (Ronin-MX) Package including Grip and Wireless Thumb Controller.

    1x Gimbal
    1x Handle Bar
    1x Remote Control - 2.4 GHz 
    1x CP.ZM.000374 Ronin-M Part 41 Grip
    1x CP.ZM.000159.02 Wireless Thumb Controller For RONIN-M
    1x Tuning Stand
    1x Charger
    2x DJI Intelligent Battery
    1x Cable Pack
    1x Micro USB Cable
    1x Camera Mounting Plate
    1x Upper Mounting plate
    1x Vibration Absorber


Accessories:

    2x Camera Screw A (1/4”)
    2x Camera Screw B (3/8”)
    2x Camera Screw C (1/4”)
    2x Camera Screw D (3/8”)
    1x Lens Support Screw
    1x Lens Support
    4x Allen Wrench (2 mm, 3 mm, 4mm, 3/16”)",,,"Stag Hill",AC,04AC01,,"Tripods & Mounts",,FPBE,
175,No,No,No,No,No,No,Yes,"DMM00233, DMM00244, DMM00255, DMM00266",0,No,"DMA Sound Kit","Location Audio Recording Kit Containing:
 1x Tascam DR60D Portable Recorder
     - with 4x rechargeable AA batteries
 1 Sennheiser MKE600 Shotgun Microphone
     - with wind shield
 1x Rode Shock Mount Pistol Grip
 1x 3m XLR Male - Female Cable
 1x Sennheiser HD201 Headphones",,,,P.A.T.S,PA16,J3&4,"Portable Recorders",,,
176,No,No,No,No,No,No,Yes,DMM00277,0,No,"DMA Sound Kit 5","Location Audio Recording Kit Containing:
 1x Tascam DR60D Portable Recorder
     - with 4x rechargeable AA batteries
 1 Sennheiser MKE600 Shotgun Microphone
     - with wind shield
 1x Rode Shock Mount Pistol Grip
 1x 3m XLR Male - Female Cable
 1x Sennheiser HD201 Headphones",,,,NODUS,11NC01,J3&4,"Portable Recorders",,,
177,No,No,No,No,No,No,Yes,DoubleBass,0,No,"Double Bass","The Double Bass is stored in a locked cabinet in the outer PA17 store. The key to the cabinet and to the outer door digi-lock resides in the key cabinet.",,,,P.A.T.S,PA17,"Outer Room","Musical Instruments",,,
178,No,No,No,No,No,No,Yes,DMM00049,0,No,"DPA 4006 x2 kit 1","2 x DPA 4006-TLX omnidirectional microphones
Link - http://www.dpamicrophones.com/en/products.aspx?c=item&category=191&item=24010",,,,P.A.T.S,,B4,"Microphones, Brand: B&K/DPA, Directivity: Omni, Type: Condenser, Type: Small Diaphragm",,,
179,No,No,No,No,No,No,Yes,DMM00874,0,No,"DPA 4006 x2 kit 2","2 x DPA 4006 omnidirectional microphones",,,,,,B3,"Microphones, Brand: B&K/DPA, Directivity: Omni, Type: Condenser, Type: Small Diaphragm",,Ton,
180,No,No,No,No,No,No,Yes,DMM00050,0,No,"DPA 4011 x2 kit","Same as the B&K 4011: cardioids. In case with stereo bar.",,,,P.A.T.S,,B7,"Microphones, Brand: B&K/DPA, Directivity: Cardioid, Type: Condenser, Type: Small Diaphragm",,,
181,No,No,No,No,No,No,Yes,DMM00051,0,No,"DPA 4015 x2 kit","Sub-cardioid. In case with stereo bar.",,,,P.A.T.S,,B7,"Microphones, Brand: B&K/DPA, Directivity: Sub, Type: Condenser, Type: Small Diaphragm",,,
182,No,No,No,No,No,No,Yes,"DMM00288, DMM00289, DMM00290, DMM00860, DMM01133",0,No,"DPA 4060 x2",,,,,P.A.T.S,PA16,K3,"Microphones, Brand: B&K/DPA",,,
183,No,No,No,No,No,No,Yes,DMM00917,0,No,"DPA Decca Tree kit","DPA Decca Tree - allows multichannel rigs",,,,,,C5,"Trees & stereo bars",,,
184,No,No,No,No,No,No,Yes,DMM01171,0,No,"DPA D:Facto 4018VL","DPA D:Facto 4018VL Vocal Mic 
Linear Supercardioid Mic
Comes with mic clip",,,,P.A.T.S,,B5,"Microphones, Brand: B&K/DPA, Directivity: Super-Cardioid",,,
185,No,No,No,No,No,No,Yes,DMM00052,0,No,"DPA SC4061 Stereo Mic Kit","Stereo SMK-SC4061 Mic Kit containing
2 x SC4061 Omnidirectional Mic, Lo-Sens, 3 meter cable
2 x Boundary Layer Mount, Black
2 x MicroDot to 3-pin XLR (P48) w. Belt Clip
1 x Universal Surface Mount, 5 pcs.
2 x Magnet Mount, Black
1 x Windscreen, Black, 5 pcs.
2 x Microphone Holder for Strings
1  x Double Bass mount",,,,P.A.T.S,,B2,"Microphones, Brand: B&K/DPA, Directivity: Omni, Type: Condenser, Type: Small Diaphragm",,,
186,No,No,No,No,No,No,Yes,"DMM01156, DMM01157, DMM01158, DMM01159",0,No,"DragonFrame USB Keypad Controller",,,,"Stag Hill",Nodus,11NC01,,"Computer Interfaces & Peripherals",,FPBE,
187,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01112,0,No,"Dual Grip Camera Should Rig","Includes Walimex Pro Follow Focus, camera mounting plate and Fotga DP3000 Matte Box",,,,P.A.T.S,"PA16A (FVPT Transit)",,"Tripods & Mounts",,,
188,No,No,No,No,No,No,Yes,DMM01160,0,No,"Dynamixyz GoPro Head Mount","Comes with iPhone XR Adaptor",,,"Stag Hill",Nodus,10aNC01,,,,FPBE,
189,No,No,No,No,No,No,Yes,DMM01161,0,No,"Edelkrone FlexTILT Head 2",,,,"Stag Hill",Nodus,10aNC01,,"Tripods & Mounts",,FPBE,
190,No,No,No,No,No,No,Yes,DMM01162,0,No,"Edelkrone HeadONE",,,,"Stag Hill",Nodus,10aNC01,,"Tripods & Mounts",,FPBE,
191,No,No,No,No,No,No,Yes,DMM01163,0,No,"Edelkrone P1 Shutter Release Cable",,,,"Stag Hill",Nodus,10aNC01,,"Tripods & Mounts",,FPBE,
192,No,No,No,No,No,No,Yes,DMM01165,0,No,"Edelkrone StandONE",,,,"Stag Hill",Nodus,10aNC01,,"Tripods & Mounts",,FPBE,
193,No,No,No,No,No,No,Yes,DMM01164,0,No,"Edelkrone Tilt Kit for HeadONE",,,,"Stag Hill",Nodus,10aNC01,,"Tripods & Mounts",,FPBE,
194,No,No,No,No,No,No,Yes,Edit1,1,No,"Edit 1 (25C)","Key Number: 25C",,,"Stag Hill",PATS,,,"PATS Edit Rooms",,,
195,No,No,No,No,No,No,Yes,Edit2,1,No,"Edit 2 (25D)","Key Number: 25D",,,"Stag Hill",PATS,,,"PATS Edit Rooms",,,
196,Yes,No,No,No,No,Yes,Yes,Edit3,1,No,"Edit 3 (25E)","Key Number: 25E",,,"Stag Hill",PATS,,,"PATS Edit Rooms",,,
197,No,No,No,No,No,No,Yes,TurnTable,0,No,"Edit 3 Turntable","Technics SP-10MK II direct drive turntable fitted with an Ortofon 2M Red Cartridge

***Please take great care when using this turntable - the stylus and cartridge are very expensive***

DO NOT REMOVE FROM EDIT 3",,,,P.A.T.S,PA21,,"Research equipment",,,
198,Yes,Yes,No,Yes,Yes,Yes,Yes,Edit4,1,No,"Edit 4","Self Study Editing Suite complete with

1x Mac Pro (running Logic X, Pro Tools)
1x Prism Titan Audio Interface
1x Apple Thunderbolt Cinema Display
2x Neaumann KH120A Active Monitors
1x IO Mixer (with Talkback)
1x ROLI Seaboard Instrument
1x Akai MIDI Keyboard 

And Vocal Booth Housing
1x Rode NT1a",,,"Stag Hill",PATS,,,"PATS Edit Rooms",,,
199,Yes,Yes,No,Yes,Yes,Yes,No,DMM00975,0,No,"Edit 4 Thunderbolt Adaptor",,,,,P.A.T.S,PA16,C2,Stock,,,
200,Yes,Yes,No,Yes,Yes,Yes,Yes,Edit5,1,No,"Edit 5","Self Study Editing Suite complete with

1x Mac Pro (running Logic X, Pro Tools)
1x Prism Lyra Audio Interface
1x Apple Thunderbolt Cinema Display
2x Neaumann KH120A Active Monitors
1x IO Mixer (with Talkback)
1x ROLI Seaboard Instrument
1x Akai MIDI Keyboard",,,"Stag Hill",PATS,,,"PATS Edit Rooms",,,
201,Yes,Yes,No,Yes,Yes,Yes,No,DMM00976,0,No,"Edit 5 Thunderbolt Adaptor",,,,,P.A.T.S,PA16,C2,Stock,,,
202,No,No,No,No,No,No,Yes,DMM01167,0,No,"Eigenmike64 kit","Kit contains:
 - Eigenmike64
 - Eigenmike suspension mount
 - Netgear POE+ switch & power supply
 - 3 x short CAT6 cables
 - USBC Ethernet adaptor
 - 13"" Macbook Pro with Reaper, Dante Virtual Soundcard, Eigenmike software",,,,,,,Microphones,,,
203,No,No,No,No,No,No,No,DMM00053,0,No,"Electrovoice RE20 kit 1","Dynamic large diaphragm cardioid microphone.",,,,P.A.T.S,,B3,"Microphones, Directivity: Cardioid, Type: Dynamic, Type: Large Diaphragm, Brand: Electrovoice",,,
204,Yes,No,No,No,No,Yes,Yes,DMM00054,0,No,"Electrovoice RE20 kit 2","Dynamic large diaphragm cardioid microphone.",,,,P.A.T.S,,B3,"Microphones, Directivity: Cardioid, Type: Dynamic, Type: Large Diaphragm, Brand: Electrovoice",,,
205,Yes,No,No,No,No,Yes,Yes,DMM00055,0,No,"Electrovoice RE20 kit 3","Dynamic large diaphragm cardioid microphone.",,,,P.A.T.S,,B3,"Microphones, Directivity: Cardioid, Type: Dynamic, Type: Large Diaphragm, Brand: Electrovoice",,,
206,No,No,No,No,No,No,Yes,DMM00967,0,No,"Elektron - Digitone (Polyphonic Digital Synth)",,,,,PATS,PA16,J4,"Performance equipment, Computer Interfaces & Peripherals",,"UOS / CMT",
207,No,No,No,No,No,No,Yes,DMM00680,0,No,"Fender Hotrod Deluxe","When booking this amp please email DMM stores (m10059@surrey.ac.uk) to get the current door codes to PA17 (you will not be able to access it without the codes). Please return this amp to PA17 when your booking is finished.",,,,P.A.T.S,PA17,"Inner Store","Monitors and Amps, Performance equipment",,,
208,No,No,No,No,No,No,Yes,DMM00862,0,No,"Fender Hotrod Deluxe No.2","When booking this amp please email DMM stores (m10059@surrey.ac.uk) to get the current door codes to PA17 (you will not be able to access it without the codes). Please return this amp to PA17 when your booking is finished.",,,,P.A.T.S,PA17,,"Monitors and Amps, Performance equipment",,,
209,No,No,No,No,No,No,Yes,"DMM00681, DMM00682",0,No,"Fender P150 No. 1","When booking this please email DMM stores (m10059@surrey.ac.uk) to get the current door codes to PA17 (you will not be able to access it without the codes). Please return it to PA17 when your booking is finished.",,,,P.A.T.S,PA17,"Inner Store","Performance equipment",,,
210,No,No,No,No,No,No,Yes,DMM00841,0,No,"Fender Rumble 100 Bass AMP","When booking this amp please email DMM stores (m10059@surrey.ac.uk) to get the current door codes to PA17 (you will not be able to access it without the codes). Please return this amp to PA17 when your booking is finished.",,,,P.A.T.S,PA17,"Inner Store","Monitors and Amps, Performance equipment",,"UOS / Music",
211,No,No,No,No,No,No,Yes,DMM01278,0,No,"Field Recording Kit","Contains
Marantz Solid State Recorder with 1GB Flash Memory Card
XLR Cable
Rode NTG-2 Shotgun Mic
Dead Cat Wind Muff
Mic Pistol Grip",,,,P.A.T.S,"PATS Store",C5,"Portable Recorders, Microphones, Mobile boxes, Directivity: Shotgun",,,
212,No,Yes,No,Yes,Yes,Yes,Yes,DMM00540,0,No,"Filter Kit","4x5.6: C4, C5, C11
Formatt UK 4x4: Tobac 3, Tobac 7, Coral 1, Chocolate 1",,,"Stag Hill",AC,04AC01,,Filters,,,
213,No,Yes,No,Yes,Yes,Yes,Yes,DMM00541,0,No,"Filter Schneider 4x5.65 - 85",,,,"Stag Hill",AC,04AC01,,Filters,,,
214,No,Yes,No,Yes,Yes,Yes,Yes,DMM00542,0,No,"Filter Schneider 4x5.65 - Amber Sev 1",,,,"Stag Hill",AC,04AC01,,Filters,,,
215,No,Yes,No,Yes,Yes,Yes,Yes,DMM00543,0,No,"Filter Schneider 4x5.65 - Clear",,,,"Stag Hill",AC,04AC01,,Filters,,,
216,No,Yes,No,Yes,Yes,Yes,Yes,DMM00544,0,No,"Filter Schneider 4x5.65 - Coral 1/8",,,,"Stag Hill",AC,04AC01,,Filters,,,
217,No,Yes,No,Yes,Yes,Yes,Yes,DMM00545,0,No,"Filter Schneider 4x5.65 - HD Classic Soft 1/4",,,,"Stag Hill",AC,04AC01,,Filters,,,
218,No,Yes,No,Yes,Yes,Yes,Yes,DMM00546,0,No,"Filter Schneider 4x5.65 - Lin Trued Pol",,,,"Stag Hill",AC,04AC01,,Filters,,,
219,No,Yes,No,Yes,Yes,Yes,Yes,DMM00547,0,No,"Filter Schneider 4x5.65 - ND 0.6 SEH",,,,"Stag Hill",AC,04AC01,,Filters,,,
220,No,Yes,No,Yes,Yes,Yes,Yes,DMM00548,0,No,"Filter Schneider 4x5.65 - True-Streak Blue  2MM",,,,"Stag Hill",AC,04AC01,,Filters,,,
221,No,Yes,No,Yes,Yes,Yes,Yes,DMM00549,0,No,"Filter Tiffen Black Pro-mist 1/4",,,,"Stag Hill",AC,04AC01,,Filters,,,
222,No,No,No,No,No,No,Yes,DMM01022,0,No,"Focusrite Scarlett 2i2 Interface No. 1","Comes with USB-C lead",,,,P.A.T.S,PA16,K4,"Computer Interfaces & Peripherals",,"UOS / CMT",
223,No,No,No,No,No,No,Yes,DMM01023,0,No,"Focusrite Scarlett 2i2 Interface No. 2","Comes with USB-C lead",,,,P.A.T.S,PA16,K4,"Computer Interfaces & Peripherals",,"UOS / CMT",
224,No,No,No,No,No,No,No,DMM00767,1,No,"Foyer Area",,,,"Stag Hill",PATS,,,Rooms,,,
225,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00935,0,No,"FPBE AKG C414-XLS Kit 1",,,,"Stag Hill",AC,04AC01,,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",,FPBE,
226,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00936,0,No,"FPBE AKG C414-XLS Kit 2",,,,"Stag Hill",AC,04AC01,,"Microphones, Brand: AKG, Directivity: Omni, Directivity: Cardioid, Directivity: Fig-8, Directivity: Hyper, Type: Condenser, Type: Large Diaphragm",,,
227,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00997,0,No,"FVPT Extension no. 1","5 metre cable reel with two 13 amp sockets & two USB ports",,,"Stag Hill",AC,04AC01,,"Mains extensions",,,
228,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00998,0,No,"FVPT Extension no. 2","5 metre cable reel with two 13 amp sockets & two USB ports",,,"Stag Hill",AC,04AC01,,"Mains extensions",,,
229,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM00999,0,No,"FVPT Extension no. 3","5 metre cable reel with two 13 amp sockets & two USB ports",,,"Stag Hill",AC,04AC01,,"Mains extensions",,,
230,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01001,0,No,"FVPT Mains Distribution no. 1","5 metre cable with 4 sockets.",,,"Stag Hill",AC,04AC01,,"Mains extensions",,,
231,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01002,0,No,"FVPT Mains Distribution no. 2","5 metre cable with 4 sockets.",,,"Stag Hill",AC,04AC01,,"Mains extensions",,,
232,Yes,Yes,No,Yes,Yes,Yes,Yes,DMM01003,0,No,"FVPT Mains Distribution no. 3","5 metre cable with 4 sockets.",,,"Stag Hill",AC,04AC01,,"Mains extensions",,,
233,No,No,No,No,No,No,Yes,DMM01066,0,No,"FVPT Mains Distribution no. 4","5 metre cable with 4 sockets.",,,"Stag Hill",AC,04AC01,,"Mains extensions",,,
234,Yes,Yes,No,Yes,Yes,Yes,No,"FVPTTransit, DMM00895, DMM00896, DMM00897, DMM00898",0,No,"FVPT Transit store Key","Key for PA16 (A) (FVPT transit equipment store)",,,"Stagg Hill",P.A.T.S,PA16,,Stock,,FPBE,
235,No,No,No,No,No,No,Yes,DMM01187,0,No,"G:Drive 1TB #1","1TB External Hard Drive in caddy with built-in USB A cable",,,,PATS,PA16,,"Hard Drives",,,
236,No,No,No,No,No,No,Yes,DMM01224,0,No,"G:Drive 1TB #10","1TB External Hard Drive
Comes with USB A & USB C cables",,,,PATS,PA16,,"Hard Drives",,,
237,No,No,No,No,No,No,Yes,DMM01226,0,No,"G:Drive 1TB #11","1TB External Hard Drive
Comes with USB A & USB C cables",,,,PATS,PA16,,"Hard Drives",,,
238,No,No,No,No,No,No,Yes,DMM01227,0,No,"G:Drive 1TB #12","1TB External Hard Drive
Comes with USB A & USB C cables",,,,PATS,PA16,,"Hard Drives",,,
239,No,No,No,No,No,No,Yes,DMM01228,0,No,"G:Drive 1TB #13","1TB External Hard Drive
Comes with USB A & USB C cables",,,,PATS,PA16,,"Hard Drives",,,
240,No,No,No,No,No,No,Yes,DMM01229,0,No,"G:Drive 1TB #14","1TB External Hard Drive
Comes with USB A & USB C cables",,,,PATS,PA16,,"Hard Drives",,,
241,No,No,No,No,No,No,Yes,DMM01230,0,No,"G:Drive 1TB #15","1TB External Hard Drive
Comes with USB A & USB C cables",,,,PATS,PA16,,"Hard Drives",,,
